0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
32,33,33,33,33,33,32,35,32,30,17,29,32,36,37,38,38,38,19,37,38,38,38,38,39,18,37,39,20,18,18,33,37,38,39,39,39,17,37,36,38,38,38,38,16,37,39,39,39,20,20,20,33,38,39,36,39,20,37,38,39,38,38,38,36,38,38,38,39,39,39,37,38,38,39,39,39,16,16,16,30,15,33,38,36,39,15,36,38,39,39,39,33,38,39,39,39,18,38,39
32,33,33,33,33,32,32,35,33,33,30,34,33,37,37,38,38,38,38,38,38,38,38,38,39,39,39,39,39,34,34,36,36,38,38,39,39,39,38,38,38,38,39,39,39,38,39,39,39,18,16,33,36,38,38,16,33,16,14,29,36,38,38,38,36,38,14,14,14,36,36,30,37,39,39,39,35,38,39,33,39,18,33,38,39,14,15,29,35,39,39,39,36,17,17,30,38,39,39,35
29,32,32,18,32,33,29,18,29,32,35,34,36,36,38,37,37,33,38,33,38,38,38,37,39,39,39,39,39,38,38,38,34,34,38,39,34,35,37,36,34,37,36,38,39,37,37,38,38,38,37,39,39,38,39,36,35,37,36,37,36,37,36,33,37,37,38,37,38,38,18,35,19,33,33,33,37,37,38,39,39,39,37,33,19,36,37,29,36,36,37,38,39,36,14,36,38,38,39,37
32,33,33,32,32,33,30,35,17,29,17,33,33,36,38,38,38,38,38,38,38,38,38,38,39,18,37,38,39,20,20,37,38,39,39,39,39,39,17,36,30,36,38,15,37,36,39,39,39,20,37,38,39,39,39,16,37,38,38,38,38,38,38,38,36,38,38,14,36,38,38,38,38,39,18,14,14,29,33,14,33,17,30,35,38,14,30,35,38,39,39,37,39,17,17,30,38,38,39,39
29,32,32,33,32,32,18,32,35,35,29,33,33,36,36,37,37,37,38,38,38,38,36,32,38,18,37,38,39,18,32,32,33,37,37,38,39,39,34,36,36,36,38,38,37,38,37,39,39,37,20,35,37,38,39,37,33,32,37,37,39,36,38,38,36,36,16,29,16,30,36,37,38,38,37,38,37,38,36,18,33,18,37,36,39,18,33,29,36,38,37,38,19,18,33,33,37,39,39,38
33,33,33,33,33,33,32,35,29,32,17,33,33,36,38,38,38,37,38,34,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,38,38,38,38,39,38,39,39,39,39,39,39,39,39,39,38,39,39,39,39,39,38,38,38,38,38,16,16,16,30,36,39,38,39,39,39,18,16,18,33,38,33,19,37,39,38,14,14,14,14,33,37,15,33,38,18,18,33,38,39
32,32,32,32,32,32,29,29,29,35,16,34,16,37,38,38,38,38,16,36,32,36,39,38,39,16,38,39,16,15,16,35,37,38,39,39,38,37,32,36,14,36,39,15,38,37,39,39,39,16,16,16,33,37,39,14,36,14,37,36,38,38,38,38,36,36,14,14,29,30,38,38,33,38,39,39,39,14,37,38,39,16,30,36,38,34,37,38,38,39,39,39,16,29,16,30,37,16,37,38
16,29,32,32,29,32,31,35,16,29,32,34,37,37,30,37,37,16,37,38,38,38,34,32,36,16,35,38,36,16,35,36,33,33,35,37,37,37,34,30,34,38,36,37,39,38,39,37,33,38,16,38,38,37,39,30,36,14,36,34,36,38,38,34,29,36,36,38,16,29,29,14,30,16,16,33,16,33,38,34,38,15,30,34,34,14,29,33,34,38,37,35,39,39,39,39,39,39,39,39
33,33,34,33,33,34,33,35,32,17,29,29,29,36,36,37,38,38,38,38,38,38,38,38,39,38,39,39,39,38,39,39,39,38,39,39,39,38,14,33,31,35,38,15,37,38,39,39,39,36,38,39,39,38,39,15,30,15,32,35,34,38,38,35,27,32,13,27,26,34,38,15,34,38,37,39,39,38,39,15,25,15,26,34,32,36,36,37,38,37,38,37,37,38,13,26,37,38,38,38
32,33,33,33,33,31,32,35,35,17,14,29,36,36,38,37,38,38,38,38,38,38,38,38,39,33,39,39,39,18,14,29,33,34,35,39,39,39,14,33,14,32,37,14,38,38,39,39,39,15,14,29,31,35,38,13,37,15,32,38,38,38,38,38,38,38,25,12,12,26,35,37,38,38,38,38,24,34,37,14,37,15,37,38,38,13,34,37,38,38,38,38,33,14,14,26,37,37,37,14
